Unitate,Judet,medic generalist,psihiatru,cardiolog,gastroenterolog,latitude,longitude
Spitalul Orășenesc Făget,Timis,1,1,1,1,45.84488100000001,22.1707883
Spitalul Orășenesc Sânnicolau Mare,Timis,1,1,1,1,46.0681538,20.6361536
Spitalul Dr.Karl Diel Jimbolia,Timis,1,1,1,1,45.7868722,20.7105901
Spitalul de Psihiatrie și pentru Măsuri de Siguranță Jebel,Timis,0,1,0,0,45.5661814,21.1996388
Spitalul de Psihiatrie Gataia,Timis,0,1,0,0,45.4379093,21.4613843
Institutul de Boli Cardiovasculare Timișoara,Timis,0,0,1,0,45.7692665,21.2592675
Spitalul Militar de Urgență Dr. Victor Popescu Timișoara,Timis,1,1,1,1,45.7570156,21.2253217
Spitalul CFR Timișoara,Timis,1,1,1,1,45.7493849,21.2183986
Spitalul „Elena Beldiman” din Bârlad ,Vaslui,1,1,1,1,46.2351377,27.6713664
Spitalul Județean de Urgență Vâlcea,Valcea,1,1,1,1,45.118355,24.3629366
